file,year,rows,flag_negative_money,flag_null_pattern,flag_equal_time,flag_reverse_time,flag_dst_fallback,flag_reverse_time_non_dst,flag_any
yellow_tripdata_2021-01.parquet,2021,1369769,6769,98352,915,5642,0,5642,105798
yellow_tripdata_2021-02.parquet,2021,1371709,6792,98246,791,6358,0,6358,105544
yellow_tripdata_2021-03.parquet,2021,1925152,9157,127920,1111,6430,0,6430,137888
yellow_tripdata_2021-04.parquet,2021,2171187,9845,128020,1395,2965,0,2965,138924
yellow_tripdata_2021-05.parquet,2021,2507109,11018,127296,1842,2810,0,2810,139814
yellow_tripdata_2021-06.parquet,2021,2834264,12567,123538,2251,2117,0,2117,138033
yellow_tripdata_2021-07.parquet,2021,2821746,13272,130656,2721,2017,0,2017,146394
yellow_tripdata_2021-08.parquet,2021,2788757,12905,135590,2477,2566,0,2566,150726
yellow_tripdata_2021-09.parquet,2021,2963793,12402,142854,2535,2446,0,2446,157477
yellow_tripdata_2021-10.parquet,2021,3463504,14236,136483,2223,1710,0,1710,152731
yellow_tripdata_2021-11.parquet,2021,3472949,15140,127369,1846,1551,596,955,144786
yellow_tripdata_2021-12.parquet,2021,3214369,16222,102371,1603,1174,0,1174,120072
yellow_tripdata_2022-01.parquet,2022,2463931,12937,71503,1096,1353,0,1353,85416
yellow_tripdata_2022-02.parquet,2022,2979431,15630,101738,1227,1549,0,1549,118429
yellow_tripdata_2022-03.parquet,2022,3627882,20028,117814,1404,1783,0,1783,139070
yellow_tripdata_2022-04.parquet,2022,3599920,19464,118874,1568,1661,0,1661,139748
yellow_tripdata_2022-05.parquet,2022,3588295,20710,129524,1762,1268,0,1268,151839
yellow_tripdata_2022-06.parquet,2022,3558124,22715,132448,1656,1221,0,1221,156679
yellow_tripdata_2022-07.parquet,2022,3174394,21557,105194,1690,1261,0,1261,128293
yellow_tripdata_2022-08.parquet,2022,3152677,22633,93174,1570,857,0,857,117219
yellow_tripdata_2022-09.parquet,2022,3183767,21544,116592,1598,2,0,2,139618
yellow_tripdata_2022-10.parquet,2022,3675411,26257,133021,1899,993,0,993,161031
yellow_tripdata_2022-11.parquet,2022,3252717,24859,121958,1389,1561,678,883,148659
yellow_tripdata_2022-12.parquet,2022,3399549,27430,126463,1563,104,0,104,155289
yellow_tripdata_2023-01.parquet,2023,3066766,25212,71743,1118,3,0,3,97999
yellow_tripdata_2023-02.parquet,2023,2913955,24905,76817,989,276,0,276,102638
yellow_tripdata_2023-03.parquet,2023,3403766,29837,87619,1096,357,0,357,118400
yellow_tripdata_2023-04.parquet,2023,3288250,30140,90690,1081,91,0,91,121495
yellow_tripdata_2023-05.parquet,2023,3513649,32289,101796,1102,68,0,68,134636
yellow_tripdata_2023-06.parquet,2023,3307234,31591,99887,1064,189,0,189,131920
yellow_tripdata_2023-07.parquet,2023,2907108,31289,85086,1233,162,0,162,117048
yellow_tripdata_2023-08.parquet,2023,2824209,31426,87886,1280,146,0,146,120011
yellow_tripdata_2023-09.parquet,2023,2846722,29703,140225,920,146,0,146,170311
yellow_tripdata_2023-10.parquet,2023,3522285,37276,154929,1170,85,0,85,192955
yellow_tripdata_2023-11.parquet,2023,3339715,37030,132675,1033,885,791,94,171048
yellow_tripdata_2023-12.parquet,2023,3376567,42767,180003,1008,67,0,67,220739
yellow_tripdata_2024-01.parquet,2024,2964624,37568,140162,814,56,0,56,176419
yellow_tripdata_2024-02.parquet,2024,3007526,40734,185610,796,7,0,7,222427
yellow_tripdata_2024-03.parquet,2024,3582628,58606,426190,1011,117,0,117,471354
yellow_tripdata_2024-04.parquet,2024,3514289,57733,408576,1019,70,0,70,453213
yellow_tripdata_2024-05.parquet,2024,3723833,60138,404666,1105,42,0,42,454663
yellow_tripdata_2024-06.parquet,2024,3539193,61915,410781,1132,8,0,8,460400
yellow_tripdata_2024-07.parquet,2024,3076903,58843,278989,1063,5,0,5,330182
yellow_tripdata_2024-08.parquet,2024,2979183,58450,258667,1009,9,0,9,312411
yellow_tripdata_2024-09.parquet,2024,3633030,73422,483731,1116,45,0,45,540535
yellow_tripdata_2024-10.parquet,2024,3833771,75685,393895,963,39,0,39,455977
yellow_tripdata_2024-11.parquet,2024,3646369,71771,373674,783,1078,1001,77,435643
yellow_tripdata_2024-12.parquet,2024,3668371,79020,326291,1124,99,0,99,396675
yellow_tripdata_2025-01.parquet,2025,3475226,144439,540149,1927,124,0,124,601596
yellow_tripdata_2025-02.parquet,2025,3577543,183043,806937,5071,93,0,93,867092
yellow_tripdata_2025-03.parquet,2025,4145257,209132,916663,22199,81,0,81,1007432
yellow_tripdata_2025-04.parquet,2025,3970553,187018,745730,34606,163,0,163,852833
yellow_tripdata_2025-05.parquet,2025,4591845,325804,1196176,64171,101,0,101,1338362
yellow_tripdata_2025-06.parquet,2025,4322960,276056,1212946,68352,231,0,231,1355164
yellow_tripdata_2025-07.parquet,2025,3898963,247375,1038755,56063,1,0,1,1171192
yellow_tripdata_2025-08.parquet,2025,3574091,261437,886234,47831,2,0,2,1011580
yellow_tripdata_2025-09.parquet,2025,4251015,253100,1067195,57179,0,0,0,1202800
yellow_tripdata_2025-10.parquet,2025,4428699,321716,990887,67966,2,0,2,1127233
yellow_tripdata_2025-11.parquet,2025,4181444,395587,1014740,60685,1435,1431,4,1124971
yellow_tripdata_2025-12.parquet,2025,4305006,48887,1195482,58019,2,0,2,1302241
